Job_ID,Location,Is_Remote,Job_Type,Salary_Range_Min,Salary_Range_Max,Required_Skills,Required_Experience_Level,Num_Positions,Priority_Weight,Questionnaire
J0001,D,1,Part-time,96000,137000,"['Teamwork', 'Sales Experience', 'Problem Solving']",Senior,5,7,"[2, 5, 5, 1, 0, 4, 3, 2, 2, 3, 2, 3, 0, 4, 0, 0, 4, 4, 4, 0]"
J0002,C,1,Internship,129000,178000,"['CI/CD', 'DevOps']",Manager,3,8,"[2, 3, 4, 5, 5, 4, 4, 2, 5, 3, 2, 2, 4, 4, 0, 5, 5, 3, 5, 5]"
J0003,E,1,Part-time,142000,192000,"['NoSQL', 'Problem Solving', 'Network Administration', 'Data Analysis']",Lead,1,8,"[2, 3, 4, 0, 3, 3, 4, 0, 0, 2, 3, 1, 3, 3, 5, 3, 5, 3, 4, 4]"
J0004,B,1,Internship,35000,76000,"['Java', 'Communication']",Entry-level,4,7,"[0, 2, 1, 1, 5, 5, 1, 5, 3, 4, 2, 3, 3, 4, 4, 0, 2, 3, 0, 3]"
J0005,B,0,Contract,118000,152000,"['CI/CD', 'Marketing Strategy', 'Technical Writing']",Senior,1,9,"[0, 2, 0, 0, 2, 1, 0, 4, 2, 5, 2, 4, 4, 2, 4, 1, 5, 5, 1, 0]"
J0006,F,1,Contract,123000,169000,"['Cybersecurity', 'Customer Support', 'Technical Writing', 'Communication']",Lead,2,10,"[3, 4, 4, 5, 3, 5, 3, 1, 1, 5, 3, 4, 2, 4, 1, 0, 3, 5, 0, 2]"
J0007,B,0,Full-time,144000,190000,"['Leadership', 'Python']",Manager,5,10,"[2, 0, 3, 5, 3, 4, 0, 4, 5, 4, 0, 2, 0, 5, 1, 4, 1, 2, 3, 5]"
J0008,F,0,Contract,97000,142000,['NoSQL'],Lead,2,4,"[1, 5, 5, 3, 4, 3, 1, 0, 0, 4, 3, 2, 0, 4, 4, 1, 3, 0, 3, 2]"
J0009,B,0,Internship,121000,150000,"['System Design', 'Cloud (AWS/Azure/GCP)', 'CI/CD', 'Cybersecurity']",Senior,4,5,"[3, 4, 0, 3, 1, 4, 1, 2, 2, 5, 1, 3, 4, 5, 2, 4, 4, 2, 4, 5]"
J0010,B,0,Part-time,119000,161000,"['C++', 'System Design']",Senior,3,1,"[5, 4, 2, 5, 2, 2, 3, 2, 4, 4, 1, 2, 5, 1, 3, 5, 3, 3, 0, 4]"
J0011,C,0,Full-time,122000,152000,"['SQL', 'Python', 'Leadership', 'CI/CD']",Manager,3,2,"[5, 2, 1, 4, 4, 1, 5, 3, 3, 1, 0, 1, 2, 0, 5, 1, 2, 4, 0, 1]"
J0012,A,0,Internship,45000,93000,"['Problem Solving', 'Customer Support', 'DevOps', 'Cloud (AWS/Azure/GCP)']",Mid-level,3,6,"[1, 5, 0, 4, 4, 1, 0, 5, 0, 1, 1, 5, 1, 2, 2, 1, 3, 0, 4, 1]"
J0013,B,0,Internship,109000,146000,"['Data Analysis', 'UI/UX Design', 'Cloud (AWS/Azure/GCP)']",Lead,1,2,"[3, 2, 0, 5, 5, 3, 3, 3, 5, 2, 0, 0, 2, 3, 4, 2, 5, 1, 5, 1]"
J0014,E,0,Full-time,109000,147000,"['Marketing Strategy', 'Network Administration', 'JavaScript', 'Sales Experience', 'Java']",Manager,2,9,"[0, 5, 1, 0, 0, 1, 0, 2, 3, 5, 0, 4, 3, 4, 1, 2, 4, 2, 3, 2]"
J0015,C,0,Part-time,131000,157000,"['Sales Experience', 'Cloud (AWS/Azure/GCP)']",Lead,2,7,"[2, 5, 0, 2, 2, 3, 3, 2, 1, 5, 4, 1, 1, 0, 2, 1, 1, 5, 3, 0]"
J0016,F,0,Full-time,99000,139000,"['Agile Methodologies', 'C++', 'NoSQL', 'Sales Experience', 'Cybersecurity']",Senior,3,1,"[1, 2, 5, 2, 1, 3, 3, 4, 5, 4, 5, 5, 0, 3, 0, 5, 4, 0, 4, 5]"
J0017,B,0,Part-time,138000,178000,['Machine Learning'],Manager,1,5,"[4, 1, 3, 3, 3, 2, 2, 2, 1, 0, 4, 5, 2, 4, 2, 1, 4, 5, 4, 0]"
J0018,A,1,Internship,87000,129000,"['Technical Writing', 'NoSQL', 'Marketing Strategy', 'C++', 'Agile Methodologies']",Senior,3,6,"[0, 4, 5, 1, 4, 2, 3, 0, 1, 0, 2, 5, 2, 1, 3, 1, 0, 0, 0, 2]"
J0019,B,0,Internship,115000,164000,['Machine Learning'],Lead,3,8,"[5, 1, 2, 0, 0, 1, 4, 3, 4, 5, 5, 1, 0, 4, 0, 0, 4, 4, 5, 5]"
J0020,E,1,Full-time,70000,112000,"['Cybersecurity', 'Problem Solving']",Mid-level,4,9,"[3, 0, 0, 1, 0, 0, 0, 1, 1, 2, 5, 3, 4, 2, 4, 3, 2, 1, 2, 3]"
J0021,B,0,Full-time,111000,132000,"['Cybersecurity', 'Network Administration', 'Python']",Senior,5,3,"[5, 0, 5, 4, 4, 0, 0, 0, 5, 1, 2, 3, 4, 5, 5, 2, 4, 2, 0, 4]"
J0022,C,0,Internship,114000,154000,"['Sales Experience', 'Project Management', 'Marketing Strategy', 'Cloud (AWS/Azure/GCP)', 'Machine Learning']",Senior,5,10,"[4, 2, 1, 0, 0, 1, 2, 5, 4, 1, 2, 1, 4, 0, 5, 3, 5, 0, 4, 5]"
J0023,A,0,Full-time,39000,61000,"['Communication', 'NoSQL', 'Java', 'SQL']",Entry-level,5,4,"[5, 2, 1, 2, 3, 1, 5, 1, 4, 1, 0, 1, 5, 3, 0, 1, 0, 2, 0, 3]"
J0024,C,0,Contract,129000,154000,"['Leadership', 'Cybersecurity', 'JavaScript']",Manager,2,6,"[2, 1, 5, 1, 1, 0, 0, 2, 2, 3, 1, 3, 5, 5, 4, 1, 3, 0, 0, 2]"
J0025,F,1,Contract,40000,74000,"['Cloud (AWS/Azure/GCP)', 'Leadership', 'NoSQL', 'C++']",Entry-level,5,8,"[5, 1, 0, 0, 2, 1, 3, 4, 2, 4, 4, 3, 3, 5, 4, 5, 1, 3, 1, 5]"
J0026,D,0,Internship,73000,110000,"['Data Analysis', 'Project Management']",Mid-level,5,6,"[5, 5, 3, 3, 5, 4, 2, 2, 1, 1, 0, 0, 5, 2, 4, 1, 0, 0, 1, 4]"
J0027,B,0,Contract,140000,186000,"['UI/UX Design', 'Marketing Strategy']",Manager,2,4,"[2, 0, 2, 1, 1, 5, 0, 2, 4, 2, 0, 3, 5, 5, 1, 2, 3, 4, 2, 4]"
J0028,D,0,Part-time,100000,142000,['Cybersecurity'],Senior,3,6,"[4, 4, 2, 0, 0, 5, 3, 4, 3, 0, 2, 5, 0, 5, 2, 1, 1, 2, 1, 2]"
J0029,E,0,Full-time,35000,66000,"['C++', 'Customer Support', 'SQL']",Entry-level,1,5,"[2, 1, 4, 0, 1, 1, 0, 2, 0, 0, 2, 4, 3, 1, 4, 5, 4, 3, 2, 1]"
J0030,A,0,Full-time,139000,156000,"['Marketing Strategy', 'Cloud (AWS/Azure/GCP)', 'Leadership', 'Technical Writing', 'NoSQL']",Lead,5,9,"[3, 3, 3, 0, 3, 2, 0, 5, 3, 3, 2, 2, 4, 4, 2, 3, 0, 5, 4, 3]"
J0031,B,0,Contract,129000,150000,"['SQL', 'System Design', 'Cybersecurity', 'Java']",Manager,3,9,"[2, 3, 1, 2, 4, 3, 4, 3, 1, 3, 2, 4, 1, 2, 0, 1, 1, 4, 5, 2]"
J0032,C,0,Contract,79000,128000,"['C++', 'CI/CD', 'Problem Solving', 'Sales Experience']",Senior,4,5,"[5, 4, 1, 3, 5, 5, 0, 2, 2, 3, 0, 4, 3, 5, 2, 1, 3, 4, 1, 3]"
J0033,C,0,Part-time,111000,141000,"['Teamwork', 'NoSQL', 'Marketing Strategy']",Lead,4,5,"[3, 4, 4, 1, 5, 4, 0, 4, 3, 3, 1, 1, 4, 2, 1, 4, 1, 5, 4, 4]"
J0034,A,0,Part-time,57000,78000,"['UI/UX Design', 'Cybersecurity', 'Java']",Mid-level,4,4,"[5, 1, 3, 5, 4, 5, 4, 3, 3, 4, 5, 3, 1, 2, 1, 2, 3, 4, 1, 1]"
J0035,B,0,Part-time,63000,89000,"['Java', 'Sales Experience', 'C++', 'Network Administration', 'System Design']",Mid-level,5,2,"[3, 5, 1, 3, 2, 2, 1, 5, 0, 1, 3, 1, 0, 0, 4, 0, 1, 5, 3, 3]"
J0036,B,0,Contract,53000,89000,"['Cybersecurity', 'Leadership', 'Problem Solving', 'Technical Writing']",Entry-level,3,4,"[5, 2, 2, 4, 5, 2, 3, 1, 5, 4, 2, 3, 3, 0, 5, 5, 0, 4, 3, 5]"
J0037,B,1,Contract,132000,174000,"['DevOps', 'Technical Writing', 'Leadership']",Manager,3,8,"[1, 3, 4, 4, 2, 4, 4, 5, 0, 5, 3, 5, 0, 5, 4, 0, 0, 3, 2, 0]"
J0038,D,0,Full-time,87000,125000,"['Cybersecurity', 'Leadership', 'Project Management', 'UI/UX Design']",Senior,5,8,"[2, 1, 3, 5, 3, 5, 1, 5, 4, 2, 2, 3, 3, 1, 0, 3, 2, 1, 0, 0]"
J0039,E,0,Full-time,104000,120000,"['DevOps', 'Project Management', 'Agile Methodologies']",Senior,2,6,"[2, 5, 4, 1, 3, 3, 2, 2, 4, 3, 2, 1, 0, 1, 2, 0, 2, 2, 5, 0]"
J0040,E,0,Internship,109000,134000,"['Problem Solving', 'Data Analysis', 'Cybersecurity', 'SQL']",Manager,3,8,"[0, 4, 3, 2, 3, 0, 0, 0, 1, 5, 4, 4, 1, 4, 0, 5, 1, 1, 4, 5]"
J0041,E,0,Internship,66000,111000,"['Network Administration', 'Customer Support', 'SQL', 'JavaScript', 'NoSQL']",Mid-level,1,1,"[3, 0, 3, 4, 5, 5, 5, 3, 1, 1, 5, 4, 2, 4, 5, 2, 4, 5, 2, 1]"
J0042,D,0,Internship,35000,56000,"['C++', 'Technical Writing', 'Customer Support', 'Sales Experience']",Entry-level,5,9,"[5, 2, 4, 1, 1, 5, 4, 0, 4, 2, 1, 4, 1, 2, 4, 3, 3, 0, 1, 0]"
J0043,B,0,Part-time,136000,173000,['Problem Solving'],Lead,1,3,"[5, 5, 3, 5, 2, 3, 1, 4, 0, 5, 3, 0, 0, 3, 2, 1, 0, 3, 5, 2]"
J0044,E,0,Contract,35000,57000,"['Marketing Strategy', 'Cloud (AWS/Azure/GCP)', 'Technical Writing', 'Teamwork', 'Problem Solving']",Entry-level,1,6,"[1, 4, 5, 3, 3, 4, 1, 5, 2, 3, 5, 5, 2, 4, 1, 3, 1, 2, 5, 3]"
J0045,A,0,Part-time,76000,98000,"['Java', 'SQL', 'CI/CD']",Senior,1,2,"[4, 5, 3, 4, 0, 0, 5, 0, 5, 3, 1, 4, 0, 0, 2, 1, 3, 3, 4, 2]"
J0046,B,1,Full-time,105000,134000,['Data Analysis'],Lead,5,4,"[4, 2, 0, 4, 1, 2, 5, 1, 4, 0, 2, 3, 1, 1, 1, 4, 2, 3, 4, 0]"
J0047,D,0,Internship,86000,113000,"['C++', 'DevOps', 'Cybersecurity', 'CI/CD', 'Problem Solving']",Senior,5,5,"[5, 0, 4, 5, 3, 2, 3, 1, 2, 1, 5, 2, 3, 4, 0, 2, 4, 1, 4, 3]"
J0048,D,0,Internship,145000,171000,['Agile Methodologies'],Manager,4,5,"[5, 2, 0, 2, 5, 0, 4, 1, 5, 3, 5, 5, 2, 0, 5, 0, 0, 0, 3, 1]"
J0049,F,0,Part-time,116000,154000,"['Communication', 'Network Administration', 'UI/UX Design', 'Marketing Strategy']",Manager,4,8,"[5, 4, 5, 4, 0, 5, 5, 0, 1, 0, 2, 0, 0, 1, 3, 2, 5, 1, 5, 1]"
J0050,A,0,Part-time,145000,186000,"['Cybersecurity', 'NoSQL']",Lead,2,8,"[0, 1, 5, 3, 4, 0, 0, 2, 4, 1, 0, 1, 5, 1, 3, 5, 5, 1, 5, 2]"
J0051,C,0,Internship,40000,89000,"['Machine Learning', 'Sales Experience', 'NoSQL']",Mid-level,1,10,"[5, 2, 4, 1, 2, 2, 5, 0, 2, 5, 3, 0, 1, 5, 2, 2, 5, 4, 2, 1]"
J0052,E,0,Full-time,144000,191000,"['Network Administration', 'DevOps']",Lead,5,4,"[4, 2, 1, 2, 1, 4, 5, 1, 3, 5, 5, 2, 5, 5, 3, 1, 4, 3, 0, 0]"
J0053,E,0,Internship,128000,148000,['Python'],Lead,5,6,"[1, 1, 1, 0, 2, 5, 2, 4, 4, 3, 4, 3, 5, 5, 4, 1, 1, 1, 2, 2]"
J0054,E,0,Part-time,35000,61000,['NoSQL'],Entry-level,1,2,"[3, 2, 3, 0, 1, 2, 1, 4, 2, 5, 2, 0, 3, 2, 1, 4, 3, 1, 3, 3]"
J0055,D,0,Part-time,127000,149000,"['Python', 'Technical Writing', 'Project Management']",Manager,3,4,"[3, 2, 5, 3, 4, 5, 1, 4, 3, 1, 2, 0, 5, 0, 5, 0, 2, 3, 5, 1]"
J0056,C,0,Part-time,39000,63000,"['System Design', 'Agile Methodologies']",Entry-level,4,4,"[4, 3, 4, 0, 4, 3, 1, 5, 2, 4, 3, 3, 0, 1, 4, 5, 3, 1, 1, 2]"
J0057,C,0,Contract,111000,155000,"['Data Analysis', 'Communication', 'Machine Learning']",Manager,1,3,"[4, 5, 1, 2, 4, 3, 2, 4, 2, 5, 1, 1, 3, 1, 2, 4, 0, 0, 0, 1]"
J0058,E,0,Contract,125000,166000,"['Network Administration', 'SQL', 'Communication']",Lead,3,10,"[5, 4, 2, 1, 1, 5, 5, 3, 5, 5, 3, 0, 2, 4, 2, 3, 5, 2, 5, 3]"
J0059,E,0,Internship,131000,160000,"['Project Management', 'Python', 'Sales Experience', 'NoSQL', 'Java']",Lead,4,1,"[4, 4, 5, 2, 3, 2, 0, 1, 5, 5, 0, 0, 1, 3, 4, 0, 4, 1, 4, 2]"
J0060,C,0,Internship,162000,211000,"['Sales Experience', 'JavaScript', 'UI/UX Design']",Manager,2,5,"[5, 1, 2, 1, 4, 3, 5, 0, 5, 3, 3, 1, 5, 3, 2, 4, 0, 3, 4, 5]"
J0061,A,0,Internship,93000,112000,"['Cloud (AWS/Azure/GCP)', 'NoSQL', 'Teamwork']",Senior,3,10,"[3, 5, 1, 4, 5, 0, 1, 2, 1, 1, 5, 2, 4, 1, 0, 5, 3, 3, 0, 0]"
J0062,F,0,Internship,112000,144000,"['Cloud (AWS/Azure/GCP)', 'Communication', 'Marketing Strategy', 'Agile Methodologies', 'CI/CD']",Lead,3,4,"[3, 1, 2, 5, 0, 0, 5, 0, 1, 5, 1, 3, 0, 5, 2, 4, 2, 2, 1, 3]"
J0063,B,0,Contract,128000,148000,"['Agile Methodologies', 'Cybersecurity']",Manager,4,3,"[2, 4, 5, 3, 5, 4, 1, 3, 2, 5, 3, 0, 2, 1, 5, 5, 3, 3, 1, 4]"
J0064,F,0,Part-time,118000,163000,"['Marketing Strategy', 'Java', 'Sales Experience', 'Project Management', 'Cloud (AWS/Azure/GCP)']",Senior,4,6,"[0, 3, 5, 3, 2, 3, 0, 0, 5, 0, 3, 1, 2, 4, 3, 2, 0, 0, 1, 1]"
J0065,E,0,Full-time,127000,166000,"['Network Administration', 'Leadership', 'JavaScript', 'Python']",Lead,5,3,"[4, 2, 0, 3, 0, 3, 1, 0, 4, 3, 1, 5, 5, 2, 1, 1, 0, 5, 0, 1]"
J0066,F,1,Contract,146000,180000,"['JavaScript', 'SQL', 'UI/UX Design']",Manager,2,8,"[1, 2, 1, 5, 4, 2, 4, 4, 3, 3, 1, 1, 4, 4, 4, 2, 2, 4, 1, 3]"
J0067,B,0,Part-time,132000,163000,"['JavaScript', 'Project Management', 'DevOps', 'NoSQL']",Lead,2,5,"[0, 2, 4, 2, 0, 3, 5, 2, 1, 5, 4, 3, 3, 4, 2, 5, 1, 0, 0, 4]"
J0068,D,0,Full-time,115000,143000,['NoSQL'],Senior,2,10,"[3, 2, 4, 5, 4, 1, 4, 2, 3, 0, 2, 4, 4, 5, 0, 5, 1, 0, 0, 4]"
J0069,C,0,Contract,132000,179000,['DevOps'],Lead,2,7,"[5, 3, 3, 0, 3, 2, 1, 5, 1, 5, 2, 0, 2, 1, 0, 3, 2, 4, 1, 4]"
J0070,A,1,Part-time,35000,71000,"['UI/UX Design', 'JavaScript']",Entry-level,2,3,"[2, 4, 3, 1, 4, 2, 2, 3, 2, 5, 3, 5, 4, 4, 4, 3, 1, 5, 1, 3]"
